#Frame          1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100      101      102
      11    1.805    1.649    1.528    1.388    1.276    1.116    0.964    0.831    0.715    0.588    0.000    0.572    0.697    0.812    0.904    0.984    1.059    1.140    1.262    1.348    1.432    1.541    1.662    1.768    1.866    1.951    2.061    2.166    2.288    2.382    2.477    2.547    2.678    2.788    2.898    3.008    3.145    3.220    3.349    3.391    3.526    3.640    3.720    3.796    3.921    4.005    4.187    4.253    4.429    4.526    4.568    4.637    4.805    4.848    4.900    5.003    5.030    5.158    5.243    5.287    5.377    5.455    5.566    5.608    5.668    5.744    5.830    5.818    5.905    5.946    6.019    6.087    6.192    6.214    6.234    6.298    6.308    6.314    6.387    6.439    6.460    6.457    6.485    6.463    6.501    6.516    6.569    6.519    6.581    6.625    6.601    6.614    6.639    6.636    6.653    6.691    6.678    6.695    6.754    6.713    6.692    6.745
      12    1.873    1.730    1.612    1.483    1.369    1.219    1.070    0.948    0.836    0.720    0.572    0.000    0.612    0.736    0.846    0.916    0.989    1.068    1.177    1.280    1.360    1.454    1.576    1.688    1.782    1.868    1.965    2.069    2.201    2.298    2.391    2.453    2.591    2.699    2.806    2.912    3.046    3.120    3.250    3.289    3.426    3.545    3.622    3.697    3.817    3.907    4.091    4.154    4.330    4.429    4.469    4.535    4.706    4.747    4.799    4.900    4.930    5.058    5.142    5.187    5.279    5.355    5.465    5.507    5.570    5.646    5.731    5.719    5.803    5.850    5.917    5.989    6.091    6.114    6.131    6.196    6.207    6.215    6.284    6.337    6.357    6.353    6.381    6.360    6.400    6.416    6.469    6.418    6.481    6.525    6.501    6.513    6.537    6.538    6.554    6.590    6.575    6.593    6.652    6.610    6.589    6.643
      13    1.954    1.810    1.689    1.550    1.435    1.291    1.164    1.029    0.906    0.793    0.697    0.612    0.000    0.606    0.712    0.826    0.915    0.983    1.078    1.183    1.265    1.364    1.478    1.593    1.674    1.770    1.885    1.991    2.124    2.229    2.318    2.376    2.512    2.620    2.728    2.838    2.973    3.040    3.174    3.217    3.358    3.474    3.550    3.629    3.749    3.841    4.025    4.090    4.267    4.361    4.404    4.466    4.636    4.677    4.725    4.827    4.856    4.986    5.070    5.115    5.208    5.286    5.392    5.435    5.496    5.572    5.655    5.640    5.725    5.767    5.835    5.906    6.011    6.030    6.051    6.116    6.128    6.135    6.203    6.252    6.274    6.270    6.297    6.278    6.317    6.333    6.388    6.337    6.400    6.444    6.417    6.430    6.458    6.456    6.473    6.509    6.496    6.511    6.570    6.529    6.508    6.560
      14    2.047    1.899    1.775    1.632    1.525    1.380    1.271    1.127    1.016    0.906    0.812    0.736    0.606    0.000    0.628    0.729    0.818    0.885    0.972    1.096    1.156    1.256    1.374    1.478    1.555    1.651    1.770    1.876    2.014    2.114    2.202    2.267    2.397    2.502    2.613    2.722    2.860    2.928    3.061    3.102    3.245    3.363    3.444    3.523    3.646    3.738    3.916    3.978    4.155    4.256    4.297    4.359    4.528    4.575    4.622    4.723    4.752    4.880    4.968    5.014    5.104    5.181    5.289    5.333    5.393    5.471    5.554    5.541    5.627    5.670    5.738    5.809    5.915    5.935    5.955    6.018    6.032    6.038    6.110    6.158    6.180    6.177    6.206    6.186    6.224    6.240    6.296    6.246    6.309    6.354    6.330    6.344    6.371    6.371    6.389    6.424    6.412    6.430    6.486    6.449    6.427    6.480
      15    2.140    1.998    1.876    1.729    1.613    1.470    1.345    1.211    1.114    1.000    0.904    0.846    0.712    0.628    0.000    0.625    0.707    0.796    0.900    0.997    1.077    1.182    1.285    1.394    1.473    1.569    1.694    1.796    1.915    2.017    2.104    2.161    2.297    2.414    2.519    2.636    2.778    2.842    2.979    3.012    3.156    3.271    3.349    3.435    3.560    3.648    3.824    3.888    4.064    4.163    4.206    4.270    4.437    4.483    4.529    4.633    4.660    4.787    4.874    4.921    5.012    5.092    5.200    5.247    5.310    5.386    5.469    5.459    5.545    5.587    5.655    5.722    5.829    5.849    5.870    5.937    5.950    5.956    6.030    6.081    6.099    6.098    6.127    6.109    6.150    6.166    6.223    6.170    6.235    6.276    6.254    6.271    6.299    6.297    6.317    6.355    6.340    6.359    6.417    6.381    6.357    6.410
      16    2.230    2.091    1.964    1.813    1.704    1.555    1.433    1.300    1.187    1.090    0.984    0.916    0.826    0.729    0.625    0.000    0.607    0.713    0.838    0.942    1.002    1.097    1.197    1.298    1.390    1.489    1.608    1.710    1.834    1.932    2.004    2.055    2.186    2.306    2.407    2.528    2.676    2.740    2.882    2.917    3.065    3.177    3.258    3.337    3.466    3.557    3.735    3.795    3.973    4.075    4.120    4.182    4.343    4.392    4.440    4.544    4.571    4.699    4.786    4.839    4.933    5.011    5.123    5.172    5.235    5.309    5.390    5.381    5.471    5.516    5.585    5.651    5.754    5.773    5.794    5.862    5.874    5.880    5.955    6.007    6.029    6.030    6.059    6.040    6.083    6.099    6.154    6.102    6.166    6.208    6.187    6.205    6.235    6.234    6.255    6.294    6.280    6.297    6.358    6.321    6.297    6.353
      17    2.273    2.133    2.007    1.851    1.741    1.596    1.480    1.364    1.259    1.164    1.059    0.989    0.915    0.818    0.707    0.607    0.000    0.628    0.766    0.862    0.944    1.056    1.171    1.251    1.340    1.443    1.552    1.647    1.768    1.878    1.945    2.009    2.133    2.250    2.350    2.474    2.617    2.684    2.823    2.857    3.004    3.115    3.192    3.273    3.404    3.489    3.664    3.724    3.900    4.004    4.051    4.111    4.273    4.319    4.366    4.471    4.497    4.624    4.712    4.760    4.857    4.938    5.049    5.102    5.167    5.241    5.325    5.317    5.402    5.447    5.519    5.584    5.682    5.701    5.724    5.794    5.808    5.814    5.891    5.942    5.963    5.965    5.994    5.976    6.018    6.035    6.091    6.040    6.106    6.147    6.124    6.139    6.170    6.170    6.192    6.230    6.217    6.234    6.296    6.259    6.233    6.289
      18    2.359    2.227    2.103    1.952    1.841    1.703    1.579    1.453    1.340    1.247    1.140    1.068    0.983    0.885    0.796    0.713    0.628    0.000    0.625    0.750    0.828    0.943    1.064    1.135    1.225    1.314    1.432    1.533    1.654    1.744    1.826    1.887    2.016    2.132    2.235    2.356    2.499    2.569    2.701    2.743    2.882    2.994    3.070    3.150    3.278    3.366    3.540    3.602    3.778    3.883    3.925    3.990    4.151    4.198    4.248    4.350    4.374    4.500    4.587    4.635    4.727    4.808    4.922    4.970    5.036    5.111    5.190    5.185    5.271    5.316    5.382    5.450    5.551    5.573    5.594    5.660    5.674    5.683    5.760    5.810    5.832    5.835    5.865    5.842    5.883    5.902    5.958    5.907    5.973    6.015    5.996    6.011    6.041    6.043    6.064    6.103    6.090    6.110    6.172    6.137    6.112    6.167
      19    2.472    2.337    2.213    2.064    1.963    1.832    1.705    1.577    1.470    1.369    1.262    1.177    1.078    0.972    0.900    0.838    0.766    0.625    0.000    0.620    0.700    0.803    0.904    1.002    1.085    1.196    1.313    1.413    1.520    1.633    1.703    1.768    1.895    2.009    2.110    2.226    2.365    2.434    2.557    2.598    2.738    2.846    2.926    3.010    3.142    3.235    3.410    3.472    3.645    3.752    3.797    3.863    4.028    4.074    4.123    4.230    4.254    4.379    4.465    4.510    4.603    4.683    4.792    4.843    4.909    4.986    5.070    5.062    5.152    5.201    5.267    5.328    5.434    5.454    5.476    5.540    5.554    5.563    5.639    5.688    5.714    5.717    5.743    5.725    5.766    5.784    5.841    5.792    5.855    5.897    5.875    5.889    5.917    5.917    5.940    5.978    5.967    5.984    6.045    6.010    5.984    6.039
      20    2.570    2.431    2.302    2.146    2.052    1.927    1.795    1.664    1.562    1.462    1.348    1.280    1.183    1.096    0.997    0.942    0.862    0.750    0.620    0.000    0.609    0.738    0.839    0.921    0.995    1.112    1.239    1.324    1.436    1.537    1.611    1.681    1.806    1.923    2.031    2.138    2.276    2.344    2.469    2.510    2.648    2.757    2.838    2.932    3.058    3.150    3.325    3.390    3.565    3.672    3.715    3.783    3.948    3.996    4.047    4.150    4.173    4.304    4.390    4.433    4.529    4.609    4.719    4.772    4.836    4.909    4.993    4.986    5.076    5.125    5.194    5.260    5.363    5.384    5.408    5.475    5.487    5.494    5.572    5.624    5.650    5.652    5.679    5.664    5.704    5.721    5.778    5.729    5.790    5.834    5.813    5.827    5.855    5.856    5.881    5.923    5.908    5.927    5.988    5.952    5.927    5.980
